LinkID;LinkIDFrom;LinkIDTo;Qmax_spl;Qkap;Qskut;Vskut;Hskut_h;Hskut_d;Qhmax;Q24
102049;160994;51288;0.0079;40.9854;124.0247;1.5902;345.5629;345.153;0.0078;0.0078
102065;51288;51714;0.0076;40.9854;158.5788;2.0332;345.153;344.4686;0.0076;0.0076
112257;156102;156106;0.7831;299.0111;0.3992;0.3992;356.0182;352.5978;0.7688;0.5282
112273;60792;156120;0.4317;92.8526;0.2052;0.2052;348.4604;347.1311;0.4231;0.2811
112737;160990;160991;0.0059;123.8927;42.9568;1.2758;345.9104;345.8932;0.0059;0.0059
112753;160992;160993;0.0076;40.9854;124.5724;1.5972;345.8266;345.7465;0.0076;0.0076
112913;60796;156121;0.2023;92.6067;0.0983;0.0983;350.1273;349.8694;0.1978;0.1322
13425;65105;181883;0.0082;176.2318;19.4559;1.6436;410.1477;409.1923;0.0082;0.0082
13441;181887;181885;0.5857;147.0035;154.1054;2.1784;393.337;392.5104;0.5715;0.3608
13457;63683;181886;0.5774;147.0035;152.6996;2.3549;393.9132;393.4998;0.5637;0.3558
13473;66868;181888;0.0061;137.4094;60.3759;0.6041;393.982;393.9783;0.0061;0.0059
13489;63760;181891;0.8197;170.8547;170.2176;2.7645;359.0132;358.8529;0.7991;0.4962
13505;181891;181892;0.8198;184.5446;186.8439;2.9761;358.8529;358.4358;0.799;0.4962
13857;61875;182343;4.7528;464.1809;2.2312;0.8327;323.5791;322.557;4.6679;3.104
13873;182359;182358;0.0645;412.0762;23.2756;0.8835;311.4559;310.4199;0.0631;0.0432
13889;182358;182357;0.0645;224.2481;58.7178;1.5033;310.4199;310.3321;0.0631;0.0432
15585;220248;220259;0.1588;295.7345;100.2505;1.6231;358.503;357.2419;0.1549;0.0964
1585;181878;181879;0.0247;222.8729;81.8268;2.9017;427.9217;427.0898;0.0243;0.0187
1633537;53793;60010;0.016;360.2576;0.016;0.016;361.4215;360.7725;0.016;0.016
1638497;64276;61672;38.0894;3240.9511;3563.8881;3.183;338.9519;338.1837;35.328;22.1518
1645505;244813;244814;1.2879;160.0236;131.8195;2.4604;294.5579;292.7984;0.6333;0.3406
1645521;246776;246778;0.0163;75.7477;15.8352;1.22;333.9885;333.9886;0.0161;0.0121
1646001;212978;212984;0.073;118.9975;0.0462;0.0462;344.2646;343.677;0.0722;0.0545
1646017;213019;212996;0.0619;96.1901;0.039;0.039;342.7647;342.3198;0.0614;0.0462
1646033;213035;502689;7.072;2516.6295;805.9468;2.7533;342.282;341.7165;7.039;5.4607
1646065;124582;124584;0.017;64.5062;0.0118;0.0118;398.1127;397.5429;0.0168;0.0134
1646081;124592;124593;1.1487;78.7038;0.7324;0.504;392.9371;391.9267;1.1377;0.86
1646241;59991;60220;1.7413;99.1171;28.7605;1.1034;372.2373;372.108;1.7349;1.3063
1648177;314829;314824;0.0322;337.2908;9.7515;1.2708;406.4833;402.6761;0.0321;0.0321
1648193;314836;314834;0.0021;45.8213;1.5852;0.2074;402.671;402.6707;0.0021;0.0021
1648209;314837;314832;0.0031;65.3814;0.0031;0.0031;402.7015;402.6033;0.0031;0.0031
1648257;206963;206964;2.2403;790.2185;571.2646;3.1103;348.4426;347.7364;2.1967;1.4308
1648385;157943;157945;0.1188;58.8603;88.9099;1.28;397.6666;397.2754;0.1182;0.069
1648465;311890;311891;0.0031;64.976;19.0987;0.844;298.7049;298.6026;0.0031;0.0031
1648481;314272;314273;0.1444;258.7852;268.6187;2.3555;296.6942;351.7605;0.1444;0.1444
1648497;310687;310688;0.2168;67.9471;0.1156;0.1156;349.9993;349.1481;0.212;0.1475
